Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2019-10-25,2019-10-25 00:00:00.000000000,0.3012,0.5,0.2,0.376,22543439.71,2019-10-25 23:59:59.999000064,7270730.397066,21101,11181380.27,3590527.192481,0
2019-10-26,2019-10-26 00:00:00.000000000,0.376,0.3795,0.2503,0.262,11681713.87,2019-10-26 23:59:59.999000064,3437779.449128,13078,4612983.66,1368634.906949,0
2019-10-27,2019-10-27 00:00:00.000000000,0.262,0.2736,0.2084,0.2121,6204081.96,2019-10-27 23:59:59.999000064,1448658.727781,6695,2223786.66,523208.799691,0
2019-10-28,2019-10-28 00:00:00.000000000,0.2136,0.25,0.205,0.2126,7968877.3,2019-10-28 23:59:59.999000064,1815430.772099,7246,3294579.81,753165.923443,0
2019-10-29,2019-10-29 00:00:00.000000000,0.2133,0.2229,0.2076,0.211,3277198.86,2019-10-29 23:59:59.999000064,702009.191804,3107,1240842.21,266607.769612,0
2019-10-30,2019-10-30 00:00:00.000000000,0.211,0.214,0.1932,0.1974,2725399.59,2019-10-30 23:59:59.999000064,551700.702936,2531,1049183.05,213043.128582,0
2019-10-31,2019-10-31 00:00:00.000000000,0.1962,0.2096,0.1816,0.1921,5337839.39,2019-10-31 23:59:59.999000064,1050404.412378,2940,2128304.16,418542.613542,0
2019-11-01,2019-11-01 00:00:00.000000000,0.193,0.1967,0.1869,0.1911,2527720.46,2019-11-01 23:59:59.999000064,483261.717571,1499,1179966.52,226773.976572,0
2019-11-02,2019-11-02 00:00:00.000000000,0.1903,0.2024,0.1881,0.1954,3273725.12,2019-11-02 23:59:59.999000064,638907.090765,2623,1327582.57,259151.143432,0
2019-11-03,2019-11-03 00:00:00.000000000,0.1954,0.262,0.1929,0.2352,12606871.74,2019-11-03 23:59:59.999000064,2827331.973509,9580,6201081.98,1394785.15933,0
2019-11-04,2019-11-04 00:00:00.000000000,0.2328,0.2467,0.2174,0.2211,11232858.59,2019-11-04 23:59:59.999000064,2571253.065267,7159,4643395.05,1061887.366538,0
2019-11-05,2019-11-05 00:00:00.000000000,0.2215,0.2287,0.2104,0.2206,6719134.79,2019-11-05 23:59:59.999000064,1461312.557734,4457,3034412.52,661734.072571,0
2019-11-06,2019-11-06 00:00:00.000000000,0.2215,0.2272,0.2025,0.2028,4348726.7,2019-11-06 23:59:59.999000064,940446.90743,2794,1411757.68,308598.464392,0
2019-11-07,2019-11-07 00:00:00.000000000,0.2032,0.2231,0.2008,0.2203,5459661.46,2019-11-07 23:59:59.999000064,1141240.59088,3369,2776550.64,582176.947118,0
2019-11-08,2019-11-08 00:00:00.000000000,0.2196,0.2208,0.1985,0.2149,5359697.86,2019-11-08 23:59:59.999000064,1121542.646575,3230,2428918.52,507615.615745,0
2019-11-09,2019-11-09 00:00:00.000000000,0.2129,0.2231,0.2018,0.2056,3965826.21,2019-11-09 23:59:59.999000064,842124.644588,2394,1493399.98,317571.355561,0
2019-11-10,2019-11-10 00:00:00.000000000,0.2056,0.21,0.1991,0.1995,2438251.58,2019-11-10 23:59:59.999000064,498166.459344,1787,881654.32,181181.53813,0
2019-11-11,2019-11-11 00:00:00.000000000,0.1996,0.2027,0.1915,0.1951,2088239.06,2019-11-11 23:59:59.999000064,411268.82736,1459,945974.59,186618.515024,0
2019-11-12,2019-11-12 00:00:00.000000000,0.1952,0.196,0.1874,0.1916,1297003.57,2019-11-12 23:59:59.999000064,249201.152082,1196,592884.5,113846.588738,0
2019-11-13,2019-11-13 00:00:00.000000000,0.1914,0.196,0.1902,0.1932,948242.34,2019-11-13 23:59:59.999000064,183117.199432,672,501728.44,96960.155484,0
2019-11-14,2019-11-14 00:00:00.000000000,0.1945,0.195,0.1822,0.1825,1509655.21,2019-11-14 23:59:59.999000064,281723.217085,1007,623885.53,115953.723296,0
2019-11-15,2019-11-15 00:00:00.000000000,0.1826,0.1856,0.1732,0.185,2818162.23,2019-11-15 23:59:59.999000064,507346.81264,2339,1527987.17,275099.128012,0
2019-11-16,2019-11-16 00:00:00.000000000,0.1847,0.1893,0.1822,0.1822,1344544.2,2019-11-16 23:59:59.999000064,248762.990238,1137,600037.06,111274.937853,0
2019-11-17,2019-11-17 00:00:00.000000000,0.1821,0.1841,0.1786,0.1792,932831.87,2019-11-17 23:59:59.999000064,168798.45413,677,362010.61,65694.658193,0
2019-11-18,2019-11-18 00:00:00.000000000,0.179,0.1793,0.165,0.1676,1499495.06,2019-11-18 23:59:59.999000064,258886.24753,1126,508308.82,87496.134634,0
2019-11-19,2019-11-19 00:00:00.000000000,0.169,0.169,0.1529,0.157,2196885.76,2019-11-19 23:59:59.999000064,345702.846089,1884,697617.76,109945.976093,0
2019-11-20,2019-11-20 00:00:00.000000000,0.157,0.1591,0.1452,0.1469,1281751.56,2019-11-20 23:59:59.999000064,194867.619171,1020,606090.61,92575.76387,0
2019-11-21,2019-11-21 00:00:00.000000000,0.1469,0.1485,0.1267,0.1295,2539048.26,2019-11-21 23:59:59.999000064,338049.453508,1638,1119841.8,147288.396344,0
2019-11-22,2019-11-22 00:00:00.000000000,0.1295,0.1322,0.1049,0.114,5083336.52,2019-11-22 23:59:59.999000064,584208.485845,3305,2173475.22,246954.580129,0
2019-11-23,2019-11-23 00:00:00.000000000,0.114,0.1357,0.1083,0.1231,6631005.07,2019-11-23 23:59:59.999000064,797781.324835,2840,2582259.47,309804.859858,0
2019-11-24,2019-11-24 00:00:00.000000000,0.1225,0.1404,0.1199,0.1257,9471139.3,2019-11-24 23:59:59.999000064,1241476.734635,5189,4691562.95,615560.779631,0
2019-11-25,2019-11-25 00:00:00.000000000,0.1257,0.1257,0.1045,0.1155,8706539.61,2019-11-25 23:59:59.999000064,994266.653768,3249,3111977.46,353600.053721,0
2019-11-26,2019-11-26 00:00:00.000000000,0.115,0.1159,0.1105,0.1138,2727102.39,2019-11-26 23:59:59.999000064,308445.731289,1250,1164155.12,132190.93374,0
2019-11-27,2019-11-27 00:00:00.000000000,0.1148,0.1161,0.1065,0.1129,2614524.02,2019-11-27 23:59:59.999000064,293857.127666,1281,1198446.15,135471.534601,0
2019-11-28,2019-11-28 00:00:00.000000000,0.1134,0.1225,0.112,0.1151,3217861.77,2019-11-28 23:59:59.999000064,381429.219292,1376,1506875.54,179184.990458,0
2019-11-29,2019-11-29 00:00:00.000000000,0.1152,0.1203,0.114,0.1164,1528806.69,2019-11-29 23:59:59.999000064,178327.323102,863,671806.4,78574.092048,0
2019-11-30,2019-11-30 00:00:00.000000000,0.1164,0.1173,0.1085,0.1102,1365602.6,2019-11-30 23:59:59.999000064,153564.76691,784,531013.58,59984.25305,0
2019-12-01,2019-12-01 00:00:00.000000000,0.1104,0.1104,0.1054,0.1071,917153.91,2019-12-01 23:59:59.999000064,97808.370619,587,339449.16,36254.634405,0
2019-12-02,2019-12-02 00:00:00.000000000,0.1071,0.1084,0.1035,0.1046,1315887.43,2019-12-02 23:59:59.999000064,138308.154226,667,506685.28,53529.256728,0
2019-12-03,2019-12-03 00:00:00.000000000,0.1047,0.1056,0.1,0.1018,2185524.76,2019-12-03 23:59:59.999000064,224148.330948,996,806597.69,82722.541255,0
2019-12-04,2019-12-04 00:00:00.000000000,0.1018,0.102,0.095,0.0969,2219699.53,2019-12-04 23:59:59.999000064,217090.793679,1197,1058722.38,103752.644599,0
2019-12-05,2019-12-05 00:00:00.000000000,0.0964,0.097,0.0911,0.0932,1254021.72,2019-12-05 23:59:59.999000064,117540.719866,935,492627.25,46261.049261,0
2019-12-06,2019-12-06 00:00:00.000000000,0.0934,0.0998,0.0928,0.0984,1638680.0,2019-12-06 23:59:59.999000064,158777.770023,1012,855647.01,82990.537347,0
2019-12-07,2019-12-07 00:00:00.000000000,0.098,0.0988,0.0939,0.094,1035540.84,2019-12-07 23:59:59.999000064,99602.871537,709,320621.18,30796.334845,0
2019-12-08,2019-12-08 00:00:00.000000000,0.0945,0.103,0.0928,0.1006,2506281.67,2019-12-08 23:59:59.999000064,246059.088147,1351,1263874.7,124163.693066,0
2019-12-09,2019-12-09 00:00:00.000000000,0.0999,0.1066,0.0976,0.0989,2388062.03,2019-12-09 23:59:59.999000064,244888.365784,1299,976273.46,100499.495992,0
2019-12-10,2019-12-10 00:00:00.000000000,0.0981,0.0987,0.0883,0.0902,1405869.64,2019-12-10 23:59:59.999000064,129798.400833,916,525130.93,48623.12111,0
2019-12-11,2019-12-11 00:00:00.000000000,0.0902,0.0931,0.0876,0.0884,669509.82,2019-12-11 23:59:59.999000064,60103.335484,455,184002.74,16717.518119,0
2019-12-12,2019-12-12 00:00:00.000000000,0.089,0.0896,0.0843,0.0848,1349176.78,2019-12-12 23:59:59.999000064,116193.878248,842,289402.15,24956.739315,0
2019-12-13,2019-12-13 00:00:00.000000000,0.0849,0.0917,0.0843,0.0854,1275690.49,2019-12-13 23:59:59.999000064,112034.85482,860,638766.22,56189.098229,0
2019-12-14,2019-12-14 00:00:00.000000000,0.086,0.0868,0.0817,0.082,568792.93,2019-12-14 23:59:59.999000064,47905.678655,394,183988.41,15538.372181,0
2019-12-15,2019-12-15 00:00:00.000000000,0.0823,0.0995,0.0817,0.0919,3613339.7,2019-12-15 23:59:59.999000064,332549.104163,1929,1778759.46,163701.259722,0
2019-12-16,2019-12-16 00:00:00.000000000,0.0921,0.097,0.0843,0.0854,1797416.89,2019-12-16 23:59:59.999000064,163784.742906,1016,655943.25,60320.089619,0
2019-12-17,2019-12-17 00:00:00.000000000,0.0852,0.0855,0.0804,0.0811,731654.0,2019-12-17 23:59:59.999000064,61250.028238,451,219542.2,18449.784634,0
2019-12-18,2019-12-18 00:00:00.000000000,0.0811,0.1002,0.0811,0.0965,4091912.67,2019-12-18 23:59:59.999000064,378176.06773,1778,2189193.93,201455.765912,0
2019-12-19,2019-12-19 00:00:00.000000000,0.0965,0.1267,0.0955,0.1189,12021107.68,2019-12-19 23:59:59.999000064,1342383.692936,5154,5668845.99,631098.913136,0
